observation_date,SFXRSA
1987-01-01,46.955792489659011
1987-02-01,47.302674799206002
1987-03-01,47.840212928965997
1987-04-01,47.984057701756001
1987-05-01,48.305065129391011
1987-06-01,48.605786861178998
1987-07-01,49.084565779987997
1987-08-01,49.542592009624002
1987-09-01,50.241287814700001
1987-10-01,50.992698180037003
1987-11-01,51.641130556381995
1987-12-01,52.229110582826998
1988-01-01,52.702836164853011
1988-02-01,53.199837070369995
1988-03-01,53.866209706253997
1988-04-01,54.534047187591000
1988-05-01,56.067376742114000
1988-06-01,57.881818387133997
1988-07-01,58.174426410618999
1988-08-01,58.496884961534008
1988-09-01,58.936924509436999
1988-10-01,59.950319222300998
1988-11-01,61.105586443501998
1988-12-01,62.465814159287994
1989-01-01,63.288489841422994
1989-02-01,64.057740522952997
1989-03-01,65.561702975651002
1989-04-01,66.696525836939003
1989-05-01,67.703283862443001
1989-06-01,68.784367143576006
1989-07-01,69.591281163584995
1989-08-01,70.715737930033001
1989-09-01,71.591640114020990
1989-10-01,72.425590900740005
1989-11-01,73.015228797766000
1989-12-01,73.394917535223996
1990-01-01,73.642506399810003
1990-02-01,73.822604210508999
1990-03-01,74.595008943752006
1990-04-01,75.065394671584997
1990-05-01,75.020094313203003
1990-06-01,74.588360073491003
1990-07-01,74.048470600152996
1990-08-01,73.752474923916992
1990-09-01,73.482384079979013
1990-10-01,72.906601014228002
1990-11-01,72.374808079285998
1990-12-01,71.864584610221996
1991-01-01,71.935495017897992
1991-02-01,71.126390495705991
1991-03-01,70.608208473745009
1991-04-01,69.909268219997003
1991-05-01,70.010559087292989
1991-06-01,70.281337873901990
1991-07-01,70.657607305599001
1991-08-01,70.827749155304005
1991-09-01,70.822434169763000
1991-10-01,70.712370531997010
1991-11-01,70.534379608245004
1991-12-01,70.450289315218996
1992-01-01,70.395201897459003
1992-02-01,70.339553394023994
1992-03-01,70.194740615702003
1992-04-01,69.685742447234006
1992-05-01,69.729028078968000
1992-06-01,69.488896994116004
1992-07-01,69.272296933188002
1992-08-01,68.962557682594991
1992-09-01,68.805481403285995
1992-10-01,68.827788540346006
1992-11-01,68.745316719249999
1992-12-01,68.583940827304005
1993-01-01,68.450963787866002
1993-02-01,68.290100681609999
1993-03-01,68.065505641609008
1993-04-01,67.991240829272002
1993-05-01,67.761870348864008
1993-06-01,67.473263100901008
1993-07-01,66.931306383551998
1993-08-01,66.951066896821999
1993-09-01,66.831625364590010
1993-10-01,66.772023833776998
1993-11-01,66.724370375362994
1993-12-01,66.630978472181994
1994-01-01,66.634809327062996
1994-02-01,66.648560751432996
1994-03-01,67.321860803324000
1994-04-01,67.418577154546000
1994-05-01,67.537251642477003
1994-06-01,67.612727606077001
1994-07-01,67.640450476333996
1994-08-01,67.682135712879997
1994-09-01,67.543090425271998
1994-10-01,67.793425394954994
1994-11-01,68.050658243355002
1994-12-01,68.311636449948992
1995-01-01,68.415407068538002
1995-02-01,68.321342239410001
1995-03-01,67.725239463389002
1995-04-01,67.406391721647992
1995-05-01,67.105979912228008
1995-06-01,66.921254162452001
1995-07-01,66.964520957545005
1995-08-01,67.018593634719991
1995-09-01,67.107895846942995
1995-10-01,66.971346818639006
1995-11-01,66.906437586358990
1995-12-01,66.849720740999004
1996-01-01,66.877716280049000
1996-02-01,66.904028120183000
1996-03-01,66.807687084109006
1996-04-01,66.691687183584008
1996-05-01,66.784225572072998
1996-06-01,67.015614048837008
1996-07-01,67.216140331162009
1996-08-01,67.544701696518004
1996-09-01,67.795879049714998
1996-10-01,68.260227974898001
1996-11-01,68.935062950244998
1996-12-01,69.207169889108002
1997-01-01,69.638624276357007
1997-02-01,69.835337534760995
1997-03-01,70.636412829856994
1997-04-01,71.262603763590008
1997-05-01,71.791537201547001
1997-06-01,72.310462010895989
1997-07-01,72.804282694146011
1997-08-01,73.573608313967014
1997-09-01,74.115102661368994
1997-10-01,75.037767993644991
1997-11-01,75.675430010732001
1997-12-01,76.499702897687001
1998-01-01,77.202176959008000
1998-02-01,77.677717926447002
1998-03-01,78.306592363957009
1998-04-01,79.127858716745010
1998-05-01,80.215100594792986
1998-06-01,81.391909973390014
1998-07-01,82.382300521089007
1998-08-01,83.516936866262000
1998-09-01,84.439691426788002
1998-10-01,84.965010870719013
1998-11-01,85.164210313936991
1998-12-01,85.397755187467013
1999-01-01,86.227893540825008
1999-02-01,87.219065548452988
1999-03-01,88.291712416763986
1999-04-01,89.086169694818992
1999-05-01,89.970171166955012
1999-06-01,91.276078676002001
1999-07-01,92.892928481010003
1999-08-01,94.275226128043997
1999-09-01,95.596227433888998
1999-10-01,96.764295788900000
1999-11-01,98.508827535315007
1999-12-01,100.029152903758003
2000-01-01,101.449953785765004
2000-02-01,104.170604242397005
2000-03-01,107.337222667844003
2000-04-01,110.632994093007994
2000-05-01,113.800513476348996
2000-06-01,116.815105930374003
2000-07-01,117.864997330530016
2000-08-01,119.047837140585003
2000-09-01,120.414855674031998
2000-10-01,123.250015284816001
2000-11-01,126.443111598309002
2000-12-01,130.061233988777019
2001-01-01,133.040244295564008
2001-02-01,135.075261081505005
2001-03-01,134.936974012756991
2001-04-01,133.855792109288984
2001-05-01,132.662007709199003
2001-06-01,130.833803230680019
2001-07-01,129.281105454661997
2001-08-01,128.330618725654006
2001-09-01,128.184202560220996
2001-10-01,128.210652577182998
2001-11-01,127.674897481673000
2001-12-01,126.843087699959995
2002-01-01,126.842057980556007
2002-02-01,127.614096894582005
2002-03-01,129.559938650490011
2002-04-01,132.110372318997008
2002-05-01,134.748356016856007
2002-06-01,137.569187063854002
2002-07-01,139.373338217507012
2002-08-01,141.107911478201004
2002-09-01,141.850832837898992
2002-10-01,142.818290817258998
2002-11-01,143.633219896230003
2002-12-01,143.819285765416993
2003-01-01,143.733915113673987
2003-02-01,143.850324358325992
2003-03-01,143.956334646228015
2003-04-01,144.298696174285993
2003-05-01,144.374792769431991
2003-06-01,144.840311699739004
2003-07-01,146.174843224965997
2003-08-01,147.795701462153005
2003-09-01,149.637017573097978
2003-10-01,151.550098964017991
2003-11-01,153.730239950780998
2003-12-01,155.987252023055987
2004-01-01,157.843113941067003
2004-02-01,159.953928100025990
2004-03-01,162.212734581771997
2004-04-01,164.534529563326004
2004-05-01,166.799984249911006
2004-06-01,169.835299234762999
2004-07-01,172.094446168045010
2004-08-01,174.534455827911984
2004-09-01,177.016846726108014
2004-10-01,180.047772228586012
2004-11-01,183.278189756179046
2004-12-01,187.114335106305987
2005-01-01,191.621094001977013
2005-02-01,196.018997600789987
